company_name,domain,linkedin_url,category_norm,proxy_use_case_norm,proxy_relevance,country,company_size,source_dataset
EMI Strategic Marketing,emiboston.com,https://www.linkedin.com/company/emi-strategic-marketing,Ad Verification / Brand Safety,Ad verification & geo QA (multi-region),HIGH,United States,39,Apollo_targets
Wearebtr,btrmedia.com,https://www.linkedin.com/company/wearebtr,Ad Verification / Brand Safety,Ad verification & geo QA (multi-region),HIGH,United States,35,Apollo_targets
Nomology,nomology.com,https://www.linkedin.com/company/nomology,Ad Verification / Brand Safety,Ad verification & geo QA (multi-region),HIGH,United States,25,Apollo_targets
Agile Education Marketing,agile-ed.com,https://www.linkedin.com/company/agile-education-marketing,Ad Verification / Brand Safety,Ad verification & geo QA (multi-region),HIGH,United States,47,Apollo_targets
Digintlab,digintlab.com,https://www.linkedin.com/company/digintlab,Web Scraping / Data Extraction,Web crawling / data extraction at scale,HIGH,IT,10000+,datarade_top200
Gain Dynamics,gaindynamics.com,https://www.linkedin.com/company/gain-dynamics,E-commerce / Price Intelligence,Marketplace / retail price monitoring,HIGH,ES,11-50,datarade_top200
Heydrumline,heydrumline.com,https://www.linkedin.com/company/heydrumline,Ad Verification / Brand Safety,Ad verification & geo QA (multi-region),HIGH,United States,76,Apollo_targets
Measurable AI,measurable.ai,https://www.linkedin.com/company/measurable-ai,E-commerce / Price Intelligence,Marketplace / retail price monitoring,HIGH,HK,11-50,datarade_top200
Wiza,wiza.co,https://www.linkedin.com/company/wizainc,Web Scraping / Data Extraction,Web crawling / data extraction at scale,HIGH,US,11-50,datarade_top200
Scorri,scorri.ch,https://www.linkedin.com/company/aike-leverage-your-data,E-commerce / Price Intelligence,Marketplace / retail price monitoring,HIGH,CH,1-10,datarade_top200
Dappier,dappier.com,https://www.linkedin.com/company/dappier,SEO / SERP Data,SERP scraping / rank tracking,HIGH,US,1-10,datarade_top200
Overtone,overtone.ai,https://www.linkedin.com/company/overtonetech,E-commerce / Price Intelligence,Marketplace / retail price monitoring,HIGH,GB,1-10,datarade_top200
Wrapped.io,wrapped.io,,E-commerce / Price Intelligence,Marketplace / retail price monitoring,HIGH,,10000+,datarade_top200
Lead for Business,lfbbd.com,https://www.linkedin.com/company/lead-for-business,SEO / SERP Data,SERP scraping / rank tracking,HIGH,GB,1-10,datarade_top200
Xverum,xverum.com,https://www.linkedin.com/company/xverum-group,Ad Verification / Brand Safety,Ad verification & geo QA (multi-region),HIGH,US,11-50,datarade_top200
Consumeredge,consumeredge.com,https://www.linkedin.com/company/consumeredge,E-commerce / Price Intelligence,Marketplace / retail price monitoring,HIGH,US,51-200,datarade_top200
AXOVISION,axovision.com,https://www.linkedin.com/company/axovision,E-commerce / Price Intelligence,Marketplace / retail price monitoring,HIGH,DE,10000+,datarade_top200
Leadbook,leadbook.com,https://www.linkedin.com/company/leadbook,E-commerce / Price Intelligence,Marketplace / retail price monitoring,HIGH,US,1-10,datarade_top200
Mcgrawnow,mcgrawnow.com,https://www.linkedin.com/company/mcgrawnow,E-commerce / Price Intelligence,Marketplace / retail price monitoring,HIGH,US,11-50,datarade_top200
BizWatch Network & ConsumerWatch Network,bizwatchnetwork.com,https://www.linkedin.com/company/business-watch-network,SEO / SERP Data,SERP scraping / rank tracking,HIGH,US,1-10,datarade_top200
"DataRank, Inc.",datarank.com,https://www.linkedin.com/company/datarank,SEO / SERP Data,SERP scraping / rank tracking,HIGH,United States,50,Apollo_targets
PromptCloud,promptcloud.com,https://www.linkedin.com/company/promptcloud,E-commerce / Price Intelligence,Marketplace / retail price monitoring,HIGH,US,51-200,datarade_top200
Coresignal,coresignal.com,https://www.linkedin.com/company/coresignal,E-commerce / Price Intelligence,Marketplace / retail price monitoring,HIGH,US,11-50,datarade_top200
AutoScraping,autoscraping.com,https://www.linkedin.com/company/autoscraping,E-commerce / Price Intelligence,Marketplace / retail price monitoring,HIGH,US,11-50,datarade_top200
Opoint,opoint.com,https://www.linkedin.com/company/opoint,Web Scraping / Data Extraction,Web crawling / data extraction at scale,HIGH,DK,11-50,datarade_top200
InfoTrie,infotrie.com,https://www.linkedin.com/company/infotrie,E-commerce / Price Intelligence,Marketplace / retail price monitoring,HIGH,SG,1-10,datarade_top200
Salutarydata,salutarydata.com,https://www.linkedin.com/company/salutarydata,E-commerce / Price Intelligence,Marketplace / retail price monitoring,HIGH,US,11-50,datarade_top200
Locationscloud,locationscloud.com,https://www.linkedin.com/company/locationscloud,E-commerce / Price Intelligence,Marketplace / retail price monitoring,HIGH,US,1-10,datarade_top200
PredictHQ,predicthq.com,https://www.linkedin.com/company/predicthq,SEO / SERP Data,SERP scraping / rank tracking,HIGH,US,51-200,datarade_top200
ScrapeLabs,scrapelabs.io,https://www.linkedin.com/company/scrapelabs,E-commerce / Price Intelligence,Marketplace / retail price monitoring,HIGH,,1-10,datarade_top200
Openwebninja API,openwebninja.com,https://www.linkedin.com/company/openwebninja-api,SEO / SERP Data,SERP scraping / rank tracking,HIGH,IL,1-10,datarade_top200
Unwrangle,unwrangle.com,https://www.linkedin.com/company/unwrangle,E-commerce / Price Intelligence,Marketplace / retail price monitoring,HIGH,IN,1-10,datarade_top200
Envestnet | Yodlee,yodlee.com,https://www.linkedin.com/company/yodlee,E-commerce / Price Intelligence,Marketplace / retail price monitoring,HIGH,US,201-500,datarade_top200
Datamam,datamam.com,https://www.linkedin.com/company/datamamscraping,E-commerce / Price Intelligence,Marketplace / retail price monitoring,HIGH,US,11-50,datarade_top200
Exellius Systems,exellius.com,https://www.linkedin.com/company/exellius-systems,E-commerce / Price Intelligence,Marketplace / retail price monitoring,HIGH,US,11-50,datarade_top200
Soleadify,soleadify.com,https://www.linkedin.com/company/veridiondata,Web Scraping / Data Extraction,Web crawling / data extraction at scale,HIGH,RO,51-200,datarade_top200
Newscatcherapi,newscatcherapi.com,https://www.linkedin.com/company/newscatcherapi,E-commerce / Price Intelligence,Marketplace / retail price monitoring,HIGH,US,11-50,datarade_top200
Techsalerator,techsalerator.com,https://www.linkedin.com/company/techsalerator,SEO / SERP Data,SERP scraping / rank tracking,HIGH,US,51-200,datarade_top200
Crozdesk,crozdesk.com,https://www.linkedin.com/company/crozdesk,Web Scraping / Data Extraction,Web crawling / data extraction at scale,HIGH,Canada,SMB (51-200),hot_leads
TTOBMA,ttobma.com,https://www.linkedin.com/company/ttobma,SEO / SERP Data,SERP scraping / rank tracking,HIGH,United States,24,Apollo_targets
Boomerang Commerce,boomerangcommerce.com,https://www.linkedin.com/company/boomerang-commerce,Other / Unknown,Needs validation,HIGH,United States,79,Apollo_targets
Meettie,revenueroll.com,https://www.linkedin.com/company/meettie,Ad Verification / Brand Safety,Ad verification & geo QA (multi-region),HIGH,United States,45,Apollo_targets
Intersect,intersectdigital.com,https://www.linkedin.com/company/intersect,Ad Verification / Brand Safety,Ad verification & geo QA (multi-region),HIGH,United States,23,Apollo_targets
Growth Marketing,growthmkt.it,https://www.linkedin.com/company/growth-marketing-srl,SEO / SERP Data,SERP scraping / rank tracking,HIGH,IT,1-10,datarade_top200
"Retail Insights, LLC",retailinsightsllc.com,https://www.linkedin.com/company/retail-insights-llc,E-commerce / Price Intelligence,Marketplace / retail price monitoring,HIGH,United States,21,Apollo_targets
ReportLinker,reportlinker.com,https://www.linkedin.com/company/reportlinker-com,Other / Unknown,Needs validation,HIGH,France,SMB (51-200),hot_leads
Acronym,acronym.com,https://www.linkedin.com/company/acronym,Ad Verification / Brand Safety,Ad verification & geo QA (multi-region),HIGH,United States,87,Apollo_targets
Longtail UX,longtailux.com,https://www.linkedin.com/company/longtail-ux,SEO / SERP Data,SERP scraping / rank tracking,HIGH,Australia,SMB (51-200),hot_leads
Reomnify,reomnify.com,https://www.linkedin.com/company/reomnify,SEO / SERP Data,SERP scraping / rank tracking,HIGH,SG,1-10,datarade_top200
Redmarkerai,redmarker.ai,https://www.linkedin.com/company/redmarkerai,Other / Unknown,Needs validation,HIGH,Australia,SMB (51-200),hot_leads
Datafeedwatch,datafeedwatch.com,https://www.linkedin.com/company/datafeedwatch,Ad Verification / Brand Safety,Ad verification & geo QA (multi-region),HIGH,United States,77,Apollo_targets
Veridooh,veridooh.com,https://www.linkedin.com/company/veridooh,Ad Verification / Brand Safety,Ad verification & geo QA (multi-region),HIGH,United Kingdom,42,Apollo_targets
HeadsUp,headsup.ai,https://www.linkedin.com/company/headsupai,Other / Unknown,Needs validation,HIGH,United States,SMB (51-200),hot_leads
Who's Mailing What!,whosmailingwhat.com,https://www.linkedin.com/company/whos-mailing-what,Other / Unknown,Needs validation,HIGH,United States,SMB (51-200),hot_leads
AgencyAnalytics,agencyanalytics.com,https://www.linkedin.com/company/agencyanalytics,SEO / SERP Data,SERP scraping / rank tracking,HIGH,Canada,Mid-Market (201-1000),hot_leads
Y42,y42.com,https://www.linkedin.com/company/y42-turnkey-data-orchestration,Web Scraping / Data Extraction,Web crawling / data extraction at scale,HIGH,Germany,SMB (51-200),hot_leads
PriceManager,pricemanager.com,https://www.linkedin.com/company/pricemanager,Other / Unknown,Needs validation,HIGH,United States,SMB (51-200),hot_leads
ClearDemand Price Optimization,cleardemand.com,https://www.linkedin.com/company/clear-demand,E-commerce / Price Intelligence,Marketplace / retail price monitoring,HIGH,United States,SMB (51-200),hot_leads
CI Radar,ciradar.com,https://www.linkedin.com/company/ci-radar,Other / Unknown,Needs validation,HIGH,United States,SMB (51-200),hot_leads
ClickGUARD,clickguard.com,https://www.linkedin.com/company/clickguard,Other / Unknown,Needs validation,HIGH,United States,SMB (51-200),hot_leads
Peak,peak.com,https://www.linkedin.com/company/peak,Other / Unknown,Needs validation,HIGH,Turkey,Enterprise (5000+),hot_leads
Partoo,partoo.co,https://www.linkedin.com/company/partoo,SEO / SERP Data,SERP scraping / rank tracking,HIGH,France,Mid-Market (201-1000),hot_leads
Competitormonitor,competitormonitor.com,https://www.linkedin.com/company/competitormonitor,Other / Unknown,Needs validation,HIGH,United Kingdom,SMB (51-200),hot_leads
Coefficient,coefficient.io,https://www.linkedin.com/company/coefficient-live-data-in-google-sheets-excel,Web Scraping / Data Extraction,Web crawling / data extraction at scale,HIGH,United States,SMB (51-200),hot_leads
Badger.io,honeybadger.io,https://www.linkedin.com/company/honeybadger-io,SEO / SERP Data,SERP scraping / rank tracking,HIGH,United States,SMB (51-200),hot_leads
Airops,airops.com,https://www.linkedin.com/company/airopshq,SEO / SERP Data,SERP scraping / rank tracking,HIGH,United States,SMB (51-200),hot_leads
Huckabuy,huckabuy.com,https://www.linkedin.com/company/huckabuy,SEO / SERP Data,SERP scraping / rank tracking,HIGH,United States,SMB (51-200),hot_leads
Funnel Science,funnelscience.com,https://www.linkedin.com/company/funnel-science,SEO / SERP Data,SERP scraping / rank tracking,HIGH,United States,SMB (51-200),hot_leads
Prestashop,prestashop.com,https://www.linkedin.com/company/prestashop,SEO / SERP Data,SERP scraping / rank tracking,HIGH,France,Mid-Market (201-1000),hot_leads
Clickx,clickx.io,https://www.linkedin.com/company/clickx,SEO / SERP Data,SERP scraping / rank tracking,HIGH,United States,SMB (51-200),hot_leads
Samidefense,sami.com.sa,https://www.linkedin.com/company/samidefense,Other / Unknown,Needs validation,HIGH,Saudi Arabia,Enterprise (5000+),hot_leads
Scalarr,scalarr.io,https://www.linkedin.com/company/scalarr,Other / Unknown,Needs validation,HIGH,United States,SMB (51-200),hot_leads
seoClarity,seoclarity.net,https://www.linkedin.com/company/seoclarity,Other / Unknown,Needs validation,HIGH,United States,SMB (51-200),hot_leads
Sentryc,sentryc.com,https://www.linkedin.com/company/sentryc-gmbh,Other / Unknown,Needs validation,HIGH,Germany,SMB (51-200),hot_leads
Bforeai,bfore.ai,https://www.linkedin.com/company/bforeai,Other / Unknown,Needs validation,HIGH,United States,SMB (51-200),hot_leads
Parabola,parabola.io,https://www.linkedin.com/company/tryparabola,Web Scraping / Data Extraction,Web crawling / data extraction at scale,HIGH,United States,SMB (51-200),hot_leads
Visualping,visualping.io,https://www.linkedin.com/company/visualping,Other / Unknown,Needs validation,HIGH,Canada,SMB (51-200),hot_leads
SEOPress,seopress.org,https://www.linkedin.com/company/seopress,SEO / SERP Data,SERP scraping / rank tracking,HIGH,France,SMB (51-200),hot_leads
Proposify,proposify.com,https://www.linkedin.com/company/proposify,Web Scraping / Data Extraction,Web crawling / data extraction at scale,HIGH,Canada,SMB (51-200),hot_leads
Linkgraph,linkgraph.com,https://www.linkedin.com/company/linkgraph,SEO / SERP Data,SERP scraping / rank tracking,HIGH,United States,SMB (51-200),hot_leads
PerformLine,performline.com,https://www.linkedin.com/company/performline-inc,Other / Unknown,Needs validation,HIGH,United States,SMB (51-200),hot_leads
ConnectedView,connectedview.com,https://www.linkedin.com/company/connectedview,SEO / SERP Data,SERP scraping / rank tracking,HIGH,United States,SMB (51-200),hot_leads
pharosIQ,pharosiq.com,https://www.linkedin.com/company/pharosiq,Other / Unknown,Needs validation,HIGH,United States,SMB (51-200),hot_leads
Clixtell,clixtell.com,https://www.linkedin.com/company/clixtell,Other / Unknown,Needs validation,HIGH,United States,SMB (51-200),hot_leads
Luca,luca-app.de,https://www.linkedin.com/company/luca-app-culture4life,Other / Unknown,Needs validation,HIGH,Germany,SMB (51-200),hot_leads
MakerSights,makersights.com,https://www.linkedin.com/company/makersights,E-commerce / Price Intelligence,Marketplace / retail price monitoring,HIGH,United States,SMB (51-200),hot_leads
MalouApp,malou.io,https://www.linkedin.com/company/malou,SEO / SERP Data,SERP scraping / rank tracking,HIGH,France,Mid-Market (201-1000),hot_leads
Macrometa,macrometa.com,https://www.linkedin.com/company/macrometa-corporation,SEO / SERP Data,SERP scraping / rank tracking,HIGH,United States,SMB (51-200),hot_leads
AnswerThePublic.com,answerthepublic.com,https://www.linkedin.com/company/answerthepublic,SEO / SERP Data,SERP scraping / rank tracking,HIGH,United Kingdom,SMB (51-200),hot_leads
Keyword Hero,keyword-hero.com,https://www.linkedin.com/company/keyword-hero,SEO / SERP Data,SERP scraping / rank tracking,HIGH,Germany,SMB (51-200),hot_leads
Keyword.com,keyword.com,https://www.linkedin.com/company/keyworddotcom,Other / Unknown,Needs validation,HIGH,United States,SMB (51-200),hot_leads
Kompyte,kompyte.com,https://www.linkedin.com/company/kompyte,Other / Unknown,Needs validation,HIGH,United States,SMB (51-200),hot_leads
Cyabra,cyabra.com,https://www.linkedin.com/company/cyabra,Other / Unknown,Needs validation,HIGH,United States,SMB (51-200),hot_leads
Cyble,cyble.com,https://www.linkedin.com/company/cyble-global,Other / Unknown,Needs validation,HIGH,United States,SMB (51-200),hot_leads
BlackCurve,blackcurve.com,https://www.linkedin.com/company/blackcurve,E-commerce / Price Intelligence,Marketplace / retail price monitoring,HIGH,United Kingdom,SMB (51-200),hot_leads
Shopperapproved,shopperapproved.com,https://www.linkedin.com/company/shopperapproved,SEO / SERP Data,SERP scraping / rank tracking,HIGH,United States,SMB (51-200),hot_leads
Digitalwavetechnology,digitalwavetechnology.com,https://www.linkedin.com/company/digitalwavetechnology,E-commerce / Price Intelligence,Marketplace / retail price monitoring,HIGH,United States,SMB (51-200),hot_leads
Digonex,digonex.com,https://www.linkedin.com/company/digonex,Other / Unknown,Needs validation,HIGH,United States,SMB (51-200),hot_leads
diib,diib.com,https://www.linkedin.com/company/diib,SEO / SERP Data,SERP scraping / rank tracking,HIGH,United States,SMB (51-200),hot_leads
Lyzr Platform,lyzr.ai,https://www.linkedin.com/company/lyzr-platform,Other / Unknown,Needs validation,HIGH,United States,SMB (51-200),hot_leads
Nozzle,nozzle.ai,https://www.linkedin.com/company/nozzleai,SEO / SERP Data,SERP scraping / rank tracking,HIGH,United Kingdom,SMB (51-200),hot_leads
Crowdreviews,crowdreviews.com,https://www.linkedin.com/company/crowdreviews,Other / Unknown,Needs validation,HIGH,United States,SMB (51-200),hot_leads
OneSchema,oneschema.co,https://www.linkedin.com/company/oneschema,Web Scraping / Data Extraction,Web crawling / data extraction at scale,HIGH,United States,SMB (51-200),hot_leads
Octoparse,octoparse.com,https://www.linkedin.com/company/octoparse,Web Scraping / Data Extraction,Web crawling / data extraction at scale,HIGH,United States,SMB (51-200),hot_leads
mFilterIt,mfilterit.com,https://www.linkedin.com/company/mfilterit,Other / Unknown,Needs validation,HIGH,India,Mid-Market (201-1000),hot_leads
METAPYXL,metapyxl.com,https://www.linkedin.com/company/metapyxl,Other / Unknown,Needs validation,HIGH,United States,SMB (51-200),hot_leads
Cube,cube.dev,https://www.linkedin.com/company/cube-dev,SEO / SERP Data,SERP scraping / rank tracking,HIGH,United States,SMB (51-200),hot_leads
daasity,daasity.com,https://www.linkedin.com/company/daasity,Web Scraping / Data Extraction,Web crawling / data extraction at scale,HIGH,United States,SMB (51-200),hot_leads
Prunderground,prunderground.com,https://www.linkedin.com/company/prunderground,SEO / SERP Data,SERP scraping / rank tracking,HIGH,United States,SMB (51-200),hot_leads
Ceralytics,ceralytics.com,https://www.linkedin.com/company/ceralytics,Other / Unknown,Needs validation,HIGH,United States,SMB (51-200),hot_leads
pVelocity,pvelocity.com,https://www.linkedin.com/company/pvelocity,Other / Unknown,Needs validation,HIGH,Canada,Mid-Market (201-1000),hot_leads
Stratinis,stratinis.com,https://www.linkedin.com/company/stratinis,Other / Unknown,Needs validation,HIGH,United Kingdom,SMB (51-200),hot_leads
Signum.AI,signum.ai,https://www.linkedin.com/company/signum-ai,Other / Unknown,Needs validation,HIGH,United States,SMB (51-200),hot_leads
Silamoney,silamoney.com,https://www.linkedin.com/company/silamoney,Other / Unknown,Needs validation,HIGH,United States,SMB (51-200),hot_leads
Nimble,nimble.com,https://www.linkedin.com/company/nimblecrm,Web Scraping / Data Extraction,Web crawling / data extraction at scale,HIGH,United States,SMB (51-200),hot_leads
Crayon,crayon.com,https://www.linkedin.com/company/crayon-group,Other / Unknown,Needs validation,HIGH,Norway,Enterprise (5000+),hot_leads
Syncron,syncron.com,https://www.linkedin.com/company/syncron,Other / Unknown,Needs validation,HIGH,Sweden,Enterprise (5000+),hot_leads
SISTRIX,sistrix.com,https://www.linkedin.com/company/sistrix,SEO / SERP Data,SERP scraping / rank tracking,HIGH,Germany,SMB (51-200),hot_leads
SpyFu,spyfu.com,https://www.linkedin.com/company/spyfu,SEO / SERP Data,SERP scraping / rank tracking,HIGH,United States,SMB (51-200),hot_leads
Free SEO Scan,seobility.net,https://www.linkedin.com/company/seobility-seo-tool,SEO / SERP Data,SERP scraping / rank tracking,HIGH,Germany,SMB (51-200),hot_leads
Outranking,outranking.io,https://www.linkedin.com/company/outranking-io,SEO / SERP Data,SERP scraping / rank tracking,HIGH,United States,SMB (51-200),hot_leads
Contify,contify.com,https://www.linkedin.com/company/contify,Other / Unknown,Needs validation,HIGH,United States,SMB (51-200),hot_leads
Connectix,connectix.com,https://www.linkedin.com/company/connectix-technologies-pty-ltd,SEO / SERP Data,SERP scraping / rank tracking,HIGH,Australia,Mid-Market (201-1000),hot_leads
Semantic AI,semantic-ai.com,https://www.linkedin.com/company/semantic-ai,SEO / SERP Data,SERP scraping / rank tracking,HIGH,United States,SMB (51-200),hot_leads
Tryprofound,tryprofound.com,https://www.linkedin.com/company/tryprofound,SEO / SERP Data,SERP scraping / rank tracking,HIGH,United States,SMB (51-200),hot_leads
Red Sift,redsift.com,https://www.linkedin.com/company/red-sift,Other / Unknown,Needs validation,HIGH,United Kingdom,SMB (51-200),hot_leads
Rightlander,rightlander.com,https://www.linkedin.com/company/rightlander,Other / Unknown,Needs validation,HIGH,United Kingdom,SMB (51-200),hot_leads
BrandShield,brandshield.com,https://www.linkedin.com/company/brandshield,Other / Unknown,Needs validation,HIGH,United States,SMB (51-200),hot_leads
Streamkap,streamkap.com,https://www.linkedin.com/company/streamkap,Web Scraping / Data Extraction,Web crawling / data extraction at scale,HIGH,United States,SMB (51-200),hot_leads
Authoritas,authoritas.com,https://www.linkedin.com/company/authoritas,SEO / SERP Data,SERP scraping / rank tracking,HIGH,United Kingdom,SMB (51-200),hot_leads
AuthorityLabs,authoritylabs.com,https://www.linkedin.com/company/authoritylabs,SEO / SERP Data,SERP scraping / rank tracking,HIGH,United States,SMB (51-200),hot_leads
Swoop,swoop.com,https://www.linkedin.com/company/swoop,Other / Unknown,Needs validation,HIGH,United States,SMB (51-200),hot_leads
CanIRank,canirank.com,https://www.linkedin.com/company/canirank-,SEO / SERP Data,SERP scraping / rank tracking,HIGH,United States,SMB (51-200),hot_leads
BuzzStream,buzzstream.com,https://www.linkedin.com/company/buzzstream,SEO / SERP Data,SERP scraping / rank tracking,HIGH,United States,SMB (51-200),hot_leads
buynomics,buynomics.com,https://www.linkedin.com/company/buynomics,Other / Unknown,Needs validation,HIGH,Germany,SMB (51-200),hot_leads
Grepsr,grepsr.com,https://www.linkedin.com/company/grepsr,Web Scraping / Data Extraction,Web crawling / data extraction at scale,HIGH,United States,SMB (51-200),hot_leads
Fluxguard,fluxguard.com,https://www.linkedin.com/company/fluxguard,Other / Unknown,Needs validation,HIGH,United States,SMB (51-200),hot_leads
Infatica,infatica.io,https://www.linkedin.com/company/infatica,Web Scraping / Data Extraction,Web crawling / data extraction at scale,HIGH,United Kingdom,SMB (51-200),hot_leads
Import.io,import.io,https://www.linkedin.com/company/import-io,Web Scraping / Data Extraction,Web crawling / data extraction at scale,HIGH,United States,SMB (51-200),hot_leads
The Extract Systems Platform,extractsystems.com,https://www.linkedin.com/company/extract-systems,Web Scraping / Data Extraction,Web crawling / data extraction at scale,HIGH,United States,SMB (51-200),hot_leads
Leadiq,leadiq.com,https://www.linkedin.com/company/leadiq-inc,Other / Unknown,Needs validation,HIGH,United States,SMB (51-200),hot_leads
Lengow,lengow.com,https://www.linkedin.com/company/lengow,Other / Unknown,Needs validation,HIGH,France,Mid-Market (201-1000),hot_leads
Easa,easasoftware.com,https://www.linkedin.com/company/easa,Other / Unknown,Needs validation,HIGH,United States,SMB (51-200),hot_leads
Squirrly,squirrly.co,https://www.linkedin.com/company/squirrly,SEO / SERP Data,SERP scraping / rank tracking,HIGH,United Kingdom,SMB (51-200),hot_leads
QuickLizard,quicklizard.com,https://www.linkedin.com/company/quicklizard,E-commerce / Price Intelligence,Marketplace / retail price monitoring,HIGH,United Kingdom,SMB (51-200),hot_leads
Quid,quid.com,https://www.linkedin.com/company/quidofficial,Other / Unknown,Needs validation,HIGH,United States,SMB (51-200),hot_leads
Raven Tools,raventools.com,https://www.linkedin.com/company/raven-internet-marketing-tools,SEO / SERP Data,SERP scraping / rank tracking,HIGH,United States,SMB (51-200),hot_leads
Rank Ranger,rankranger.com,https://www.linkedin.com/company/rank-ranger,SEO / SERP Data,SERP scraping / rank tracking,HIGH,United States,SMB (51-200),hot_leads
Guidewire PricingCenter,guidewire.com,https://www.linkedin.com/company/guidewire-software,Other / Unknown,Needs validation,HIGH,United States,Enterprise (5000+),hot_leads
Hibu,hibu.com,https://www.linkedin.com/company/hibu,SEO / SERP Data,SERP scraping / rank tracking,HIGH,United States,Enterprise (5000+),hot_leads
Akamai Brand Protector,akamai.com,https://www.linkedin.com/company/akamai-technologies,Other / Unknown,Needs validation,HIGH,United States,Enterprise (5000+),hot_leads
Acquia,acquia.com,https://www.linkedin.com/company/acquia,SEO / SERP Data,SERP scraping / rank tracking,HIGH,United States,Enterprise (5000+),hot_leads
Epicor,epicor.com,https://www.linkedin.com/company/epicor,E-commerce / Price Intelligence,Marketplace / retail price monitoring,HIGH,United States,Enterprise (5000+),hot_leads
Milestone Inc,milestoneinternet.com,https://www.linkedin.com/company/milestone-internet-marketing,SEO / SERP Data,SERP scraping / rank tracking,HIGH,United States,Enterprise (5000+),hot_leads
Bitsight,bitsight.com,https://www.linkedin.com/company/bitsight,Other / Unknown,Needs validation,HIGH,United States,Enterprise (5000+),hot_leads
Ocrolus,ocrolus.com,https://www.linkedin.com/company/ocrolus,Web Scraping / Data Extraction,Web crawling / data extraction at scale,HIGH,United States,Large (1001-5000),hot_leads
PriceSmart,pricesmart.com,https://www.linkedin.com/company/pricesmart,E-commerce / Price Intelligence,Marketplace / retail price monitoring,HIGH,United States,Enterprise (5000+),hot_leads
"Cyberint, a Check Point Company",checkpoint.com,https://www.linkedin.com/company/check-point-software-technologies,Other / Unknown,Needs validation,HIGH,United States,Enterprise (5000+),hot_leads
PROS,pros.com,https://www.linkedin.com/company/pros,Other / Unknown,Needs validation,HIGH,United States,Enterprise (5000+),hot_leads
Adjust,adjust.com,https://www.linkedin.com/company/adjustcom,Other / Unknown,Needs validation,HIGH,Germany,Enterprise (5000+),hot_leads
Fortra,fortra.com,https://www.linkedin.com/company/fortra,Other / Unknown,Needs validation,HIGH,United States,Enterprise (5000+),hot_leads
Yext,yext.com,https://www.linkedin.com/company/yext,SEO / SERP Data,SERP scraping / rank tracking,HIGH,United States,Enterprise (5000+),hot_leads
Zebra Workcloud Pricing & Allocation,zebra.com,https://www.linkedin.com/company/zebra-technologies,E-commerce / Price Intelligence,Marketplace / retail price monitoring,HIGH,United States,Enterprise (5000+),hot_leads
ZeroFox,zerofox.com,https://www.linkedin.com/company/zerofox,Other / Unknown,Needs validation,HIGH,United States,Enterprise (5000+),hot_leads
Onclusive,onclusive.com,https://www.linkedin.com/company/onclusive,Other / Unknown,Needs validation,HIGH,United Kingdom,Enterprise (5000+),hot_leads
Cadence,cadence.com,https://www.linkedin.com/company/cadence,Web Scraping / Data Extraction,Web crawling / data extraction at scale,HIGH,United States,Enterprise (5000+),hot_leads
Modeln,modeln.com,https://www.linkedin.com/company/modeln,Other / Unknown,Needs validation,HIGH,United States,Enterprise (5000+),hot_leads
